Avg Temperature (°C),CO2 Emissions (Tons/Capita),Sea Level Rise (mm),Rainfall (mm),Population,Renewable Energy (%),Extreme Weather Events,Forest Area (%),CO2_per_Person,Sustainability_Index
21.25,13.8,3.65,1496.0,862518925.5,27.1,1.5,46.75,11542917055.95,36.925
23.0625,10.6625,2.9,2018.875,698117697.4375,25.0875,9.5,34.2625,8171754311.50625,29.675
11.6,15.2,1.9,2798.0,692438811.5,31.8,0.0,58.3,10525069934.8,45.05
19.85,5.675,3.375,1823.5,215015307.5,41.325,7.25,46.5,1527679821.3500001,43.9125
16.62857142857143,7.785714285714286,3.757142857142857,2152.714285714286,866414816.5,25.2,6.857142857142857,44.1,6472425806.935715,34.65
16.633333333333333,8.5,2.533333333333333,1677.6666666666667,879102652.0,33.7,9.333333333333334,42.266666666666666,8083272841.599999,37.98333333333334
29.4,10.1,2.7,1132.0,274322712.0,18.75,9.0,47.3,3693800252.7999997,33.025
19.266666666666666,13.666666666666666,3.5666666666666664,2870.3333333333335,317765794.0,17.2,12.0,34.8,4372439276.166667,26.0
24.1,15.3,3.2,557.0,915322799.0,49.4,8.0,43.6,14004438824.7,46.5
5.5,13.7,4.8,2145.0,72556185.0,44.3,9.0,52.4,994019734.5,48.349999999999994
17.380000000000003,10.48,3.1,1739.6,596571825.2,21.2,5.0,43.14,4314161621.1,32.17
12.916666666666666,14.700000000000001,2.8166666666666664,1698.8333333333333,794879756.8333334,25.483333333333334,7.0,40.5,12344609153.216667,32.99166666666667
27.6,11.3,2.65,1765.5,995009297.5,42.55,7.5,56.900000000000006,11330333395.949999,49.725
25.4,4.5,4.6,2286.0,646048990.0,10.9,11.0,46.7,2907220455.0,28.8
25.05,7.1,2.85,1825.0,521980182.125,33.875,1.75,38.425,4166416905.3875,36.15
15.5,6.75,3.45,1921.5,1267688411.5,30.35,7.0,60.7,8006023563.549999,45.525
31.9,7.8,1.75,1089.0,484242306.0,37.05,5.0,38.8,2530871293.8,37.925
25.65,5.25,4.75,2571.0,1181977638.0,5.65,6.5,52.2,5299248004.5,28.924999999999997
33.3,19.4,4.1,1745.0,117312606.0,36.2,12.0,15.7,2275864556.3999996,25.950000000000003
19.200000000000003,13.65,1.9,1497.0,807954646.0,12.149999999999999,11.5,11.95,12569950312.35,12.049999999999999
28.7,5.9,2.0,2726.0,599372628.0,15.9,8.0,46.0,3536298505.2000003,30.95
20.7,7.900000000000001,3.9666666666666663,948.0,987307952.0,17.133333333333333,6.666666666666667,36.699999999999996,7523801468.0,26.916666666666668
26.2,8.875,2.15,1849.0,692054707.5,36.675,5.25,44.525,7018817847.674999,40.6
27.4,19.0,3.9,2416.0,171927360.0,42.9,12.0,19.2,3266619840.0,31.049999999999997
22.02,10.16,3.06,2360.6,740185242.6,24.04,7.2,42.3,6580158058.0,33.17
21.14,10.9,2.58,2057.2,332979499.0,36.96,6.2,31.32,3405353377.76,34.14
11.5,10.5,2.45,2745.5,978299365.5,20.2,6.5,58.5,10344742098.05,39.35
11.5,8.633333333333333,3.3333333333333335,1683.0,481125480.6666667,25.866666666666664,9.333333333333334,39.86666666666667,1643646160.0666666,32.86666666666667
34.8,19.8,2.8,904.0,1119409767.0,20.2,9.0,53.5,22164313386.600002,36.85
18.599999999999998,11.766666666666666,2.533333333333333,2043.6666666666667,450149088.0,28.066666666666666,6.333333333333333,62.666666666666664,4876683405.0,45.36666666666667
17.98,12.040000000000001,3.2,1629.4,709910008.0,23.44,5.0,35.839999999999996,7952834354.280001,29.639999999999997
19.966666666666665,15.633333333333333,3.1666666666666665,1543.0,573194554.3333334,44.300000000000004,8.333333333333334,54.1,9598226284.333334,49.199999999999996
14.4,1.5,4.2,1359.0,709386257.0,18.6,13.0,12.9,1064079385.5,15.75
7.6,10.2,3.2,577.0,316387268.0,10.1,1.0,12.0,3227150133.6,11.05
19.766666666666666,15.033333333333333,2.6666666666666665,1380.3333333333333,717339050.0,18.53333333333333,8.0,55.199999999999996,11375810698.966665,36.86666666666667
19.825,4.675,2.525,1764.25,826703127.0,35.9,8.25,34.95,4205929721.0,35.425
21.475,9.875,3.25,1709.0,382156746.25,34.75,8.0,47.2,4373337706.675,40.974999999999994
22.28333333333333,9.466666666666667,2.8166666666666664,1869.5,534934720.5,27.46666666666667,10.333333333333334,48.23333333333333,5448118027.183333,37.85
20.85,14.649999999999999,2.95,2094.5,372220037.5,21.15,0.5,52.95,5866054561.999999,37.05
19.22,11.66,3.18,2034.4,815944910.8,30.78,5.8,45.4,9357968611.640001,38.089999999999996
20.8,12.1,3.1666666666666665,1455.0,316817780.0,34.13333333333333,9.666666666666666,40.53333333333334,3726222548.366667,37.333333333333336
20.066666666666666,13.266666666666666,3.266666666666667,2003.0,664439282.0,27.7,9.0,48.5,7471559940.799999,38.099999999999994
21.099999999999998,9.333333333333334,3.4333333333333336,1572.0,747871011.3333334,23.73333333333333,8.333333333333334,58.26666666666667,5856737090.866666,41.0
16.6,11.966666666666667,2.8000000000000003,1819.6666666666667,213601955.66666666,32.9,9.333333333333334,49.699999999999996,3423134171.566666,41.300000000000004
27.0,13.3,4.4,2989.0,1018260723.0,38.5,14.0,64.6,13542867615.900002,51.55
23.53333333333333,16.733333333333334,3.6666666666666665,2496.0,822687215.6666666,21.8,3.0,38.6,15292677098.833334,30.2
18.766666666666666,9.9,3.6666666666666665,1045.3333333333333,752509415.8333334,31.433333333333334,13.666666666666666,37.23333333333333,6863881570.866666,34.333333333333336
20.7,10.7,2.35,1904.5,923109245.5,9.05,7.0,46.2,8604555688.9,27.625
29.7,18.6,2.5,1501.0,1030270792.0,21.5,11.0,63.4,19163036731.2,42.45
16.400000000000002,15.4,2.8666666666666667,1857.0,899768321.3333334,31.866666666666664,3.6666666666666665,20.933333333333334,13990884013.366667,26.399999999999995
27.166666666666668,9.9,3.0999999999999996,2243.0,640646322.3333334,28.0,8.0,66.03333333333333,8924567574.833334,47.01666666666667
13.0,11.700000000000001,2.1333333333333333,1491.0,409759902.8333333,34.9,11.666666666666666,58.46666666666667,4976615954.583333,46.68333333333334
8.4,17.9,1.6,839.0,619079995.0,39.3,5.0,41.0,11081531910.5,40.15
14.0,2.9,2.1,1085.0,218199220.0,17.1,14.0,65.9,632777738.0,41.5
21.7,5.2,2.6,1181.0,1214544133.0,33.1,14.0,54.4,6315629491.6,43.75
14.7,7.7,2.5,1412.2,650113519.7,21.28,7.2,30.78,6092619311.64,26.03
14.866666666666665,11.633333333333333,3.9,1661.3333333333333,576593830.0,36.56666666666667,8.333333333333334,28.566666666666663,6965948626.533333,32.56666666666666
23.942857142857143,8.77142857142857,2.8428571428571425,2128.4285714285716,618405148.0,25.642857142857142,9.571428571428571,28.099999999999998,5432351203.257143,26.87142857142857
21.560000000000002,8.3,3.56,1822.8,913213256.4,26.580000000000002,11.2,31.279999999999994,6870282758.780001,28.929999999999996
32.6,18.1,4.0,1545.0,333230308.0,49.5,10.0,64.8,6031468574.8,57.15
21.65,4.0,2.8499999999999996,2432.5,811481286.5,33.2,3.0,43.75,4839097389.1,38.475
21.8,4.65,3.5,2118.5,1111463780.5,24.2,7.5,36.3,5285131524.45,30.25
23.53333333333333,13.366666666666667,3.1333333333333333,2268.3333333333335,582489910.6666666,26.933333333333334,9.0,48.96666666666667,7657770222.966667,37.949999999999996
5.1,8.5,4.3,1315.0,943264951.0,50.0,7.0,41.3,8017752083.5,45.65
13.5,10.120000000000001,3.1799999999999997,2205.4,884897856.0,30.5,8.8,25.1,9227344981.3,27.8
16.15,12.799999999999999,3.75,1647.0,410684275.5,25.05,5.0,38.900000000000006,7035305870.499999,31.975
19.75,11.625,4.300000000000001,755.25,758348216.25,34.8,7.25,29.7,9953904575.099998,32.25
22.349999999999998,12.25,3.25,1124.5,475745329.25,17.45,7.5,37.0,6459149264.475,27.224999999999998
15.05,7.9,3.45,1554.5,458271595.5,18.75,5.0,25.55,6489348033.6,22.15
21.78333333333333,7.45,3.4333333333333336,1778.3333333333333,638704319.5,22.7,5.833333333333333,47.46666666666667,4961673286.333333,35.083333333333336
14.933333333333332,16.0,3.733333333333333,1387.6666666666667,158459652.33333334,36.13333333333333,7.666666666666667,33.86666666666667,3007551036.7333336,35.0
21.2,13.525,2.7750000000000004,1590.0,554418694.5,32.625,8.25,35.15,7876942825.35,33.8875
21.45,8.75,2.2,1418.875,589486199.9375,26.525,6.75,45.1875,6270474330.56875,35.85625
16.4,5.4,3.7,2452.0,30380783.0,31.8,11.0,22.6,164056228.20000002,27.200000000000003
29.333333333333332,11.666666666666666,1.8333333333333333,1505.3333333333333,716546880.6666666,23.866666666666664,13.0,26.866666666666664,7914538791.866666,25.366666666666664
16.3,18.7,4.8,2141.0,281361562.0,47.8,2.0,30.2,5261461209.4,39.0
23.25,11.4,3.5,1753.5,731355143.0,14.55,3.0,56.099999999999994,7469363588.200001,35.325
10.3,11.2,4.8,1530.0,575572757.0,28.6,0.0,62.0,6446414878.4,45.3
12.5,10.6,3.733333333333334,1321.3333333333333,520456875.1666667,33.766666666666666,9.333333333333334,36.4,5778191976.033333,35.083333333333336
21.65,14.5,2.1,1317.5,965418807.5,45.75,4.0,26.65,14360122317.599998,36.2
24.7,11.35,3.6,1465.0,826281791.5,36.4,9.5,19.35,9868265121.55,27.875
15.65,7.1,3.5999999999999996,1341.0,892121368.5,37.2,11.0,54.85,6767750227.1,46.025
17.275,7.925,2.8499999999999996,1524.25,779693628.25,24.025,8.25,36.225,6572303590.575,30.125
16.366666666666667,5.3999999999999995,2.2333333333333334,2079.0,952925299.3333334,39.766666666666666,9.0,28.833333333333332,4957660675.599999,34.300000000000004
29.5,12.533333333333333,3.0,2600.0,339552402.6666667,30.7,8.666666666666666,31.433333333333334,3428855146.866667,31.066666666666666
20.380000000000003,7.540000000000001,2.9,1622.0,928364153.8,19.080000000000002,9.8,39.84,6120532177.9,29.46
9.6,5.7,1.2,795.0,988849880.0,11.1,8.0,44.9,5636444316.0,28.0
17.479999999999997,13.080000000000002,2.3,1636.0,628542335.6,23.759999999999998,7.2,51.660000000000004,10019797747.0,37.71
16.633333333333333,12.5,2.5666666666666664,1678.6666666666667,1020175443.0,28.73333333333333,5.333333333333333,39.76666666666667,12262139705.1,34.25
26.9,17.65,1.7,2061.5,536937978.5,32.55,8.5,37.900000000000006,9485505846.85,35.225
26.65,3.8,3.55,1192.5,673684847.5,10.8,5.5,51.15,2444744221.15,30.974999999999998
26.5,11.5,2.6999999999999997,2462.6666666666665,613197832.3333334,26.033333333333335,10.0,46.699999999999996,7797165590.333333,36.36666666666667
24.96666666666667,10.833333333333334,4.0,2308.6666666666665,351418355.8333333,27.46666666666667,9.0,39.666666666666664,3832478173.266667,33.56666666666666
13.580000000000002,12.0,2.44,2044.2,976239642.0,36.8,6.2,35.739999999999995,12640237483.16,36.269999999999996
10.7,15.7,1.1,629.0,1328981569.0,27.6,14.0,16.3,20865010633.3,21.950000000000003
27.6,14.4,4.8,2726.0,63232362.0,26.2,9.0,12.9,910546012.8000001,19.55
15.4,1.3,4.3,921.0,194923647.0,27.4,3.0,45.1,253400741.1,36.25
16.55,11.5,3.4499999999999997,2061.25,452369020.0,23.0,9.75,31.799999999999997,4953536054.95,27.4
34.25,11.4,3.55,1458.5,434624396.25,37.45,3.5,34.45,5315658298.6,35.95
24.5,12.2,1.7,610.0,156286200.0,23.2,12.0,58.6,1906691640.0,40.9
18.666666666666668,12.700000000000001,2.6999999999999997,1929.0,832151942.0,21.8,9.333333333333334,41.1,11928279494.1,31.45
10.55,18.25,3.3499999999999996,1293.5,916828451.0,16.95,4.5,26.4,16689767830.8,21.675
23.2,11.325,4.05,1676.75,948045820.75,26.25,8.5,36.9,11295951157.0,31.575
23.200000000000003,12.100000000000001,2.7,1859.0,320918203.5,24.75,12.0,37.8,3181962118.85,31.275
17.975,17.325,3.3249999999999997,1577.25,591327823.25,22.625,12.0,40.175,9173186316.3,31.4
19.240000000000002,8.1,2.88,2359.6,911069842.7,30.6,7.2,34.839999999999996,6662928210.13,32.720000000000006
24.32,11.82,2.9,1999.0,701659798.7,25.139999999999997,8.2,51.42,8387676522.3,38.279999999999994
18.4,9.4,3.85,1459.0,803220177.5,28.0,9.0,51.1,7823416297.25,39.550000000000004
19.25,12.4,3.45,1203.0,566426426.5,39.2,7.5,25.4,6538518156.950001,32.3
17.375,5.449999999999999,3.575,1304.0,472206586.25,27.625,5.0,34.7,2568685143.75,31.162499999999998
17.580000000000002,10.879999999999999,2.58,1912.8,803541832.6,28.04,5.4,38.2,8254847010.32,33.12
24.799999999999997,4.800000000000001,2.1500000000000004,1710.5,1064391177.5,18.95,6.0,51.650000000000006,5078704600.450001,35.3
23.385714285714283,11.12857142857143,3.7571428571428567,1257.2857142857142,856586279.1428572,30.014285714285712,8.571428571428571,50.199999999999996,9342769133.971428,40.107142857142854
19.175,13.25,2.5,1264.75,488699943.0,30.5,7.0,51.425000000000004,7653415144.550001,40.962500000000006
19.8,15.85,2.6,1510.0,789768220.0,14.45,10.5,55.7,13171837675.0,35.075
9.0,9.5,3.15,993.0,589028994.0,16.4,10.5,22.9,5955916569.799999,19.65
17.466666666666665,7.966666666666666,2.3000000000000003,1840.0,643196659.0,31.233333333333334,6.0,24.100000000000005,5058478700.666667,27.666666666666668
19.366666666666667,10.1,3.4666666666666663,1707.0,501254289.3333333,26.666666666666668,4.666666666666667,18.0,6909056672.866666,22.333333333333332
16.375,10.325,2.875,1867.0,544496605.25,24.375,8.75,42.975,6023443949.075,33.675
12.05,9.8,2.6,1375.5,1078034288.0,43.3,5.0,43.0,11528876883.1,43.15
15.35,11.25,2.6500000000000004,1164.5,762789216.5,20.7,6.5,37.1,8579045588.700001,28.900000000000002
19.3,10.5,4.3,891.0,1297221349.0,22.8,7.0,49.8,13620824164.5,36.3
19.45,5.65,3.3,1750.25,587792269.875,29.849999999999998,9.0,47.075,4136424211.8500004,38.4625
15.4,6.95,2.3,2506.0,820208263.5,34.0,7.0,64.75,6227520968.25,49.375
16.75,15.725,2.025,1647.0,995875536.5,30.075,5.5,35.650000000000006,15778833932.550001,32.8625
7.3,15.1,2.9,1034.0,628479992.0,40.7,7.0,11.2,9490047879.199999,25.950000000000003
22.925,14.95,2.725,1471.0,1114005604.25,32.575,4.75,42.0,17063911128.075,37.287499999999994
6.3,11.0,3.1,886.0,1193832295.0,23.8,13.0,35.0,13132155245.0,29.4
24.9,15.875,3.125,1113.25,449763737.5,27.875,9.5,41.875,6269064480.275,34.875
20.025,17.15,3.45,1531.75,862072044.75,16.6,6.5,46.45,15055058686.025002,31.525
7.8,12.1,4.9,1541.0,31063151.0,47.0,11.0,16.1,375864127.09999996,31.55
15.775,13.549999999999999,3.0,2268.75,631498987.75,29.05,10.75,57.025,8771081657.925,43.0375
19.400000000000002,16.466666666666665,1.9666666666666668,1554.3333333333333,853986708.6666666,31.433333333333337,9.333333333333334,30.400000000000002,15184445143.800001,30.916666666666668
30.3,14.3,2.75,1503.0,923350357.5,24.700000000000003,6.0,53.349999999999994,13696930039.65,39.025
15.440000000000001,13.040000000000001,2.68,1762.6,692542847.8,32.019999999999996,9.0,38.78,7565301178.44,35.4
24.5,19.4,3.6,2041.0,214534006.0,27.4,10.0,60.9,4161959716.3999996,44.15
12.066666666666668,1.9666666666666668,3.1999999999999997,1936.3333333333333,726304333.3333334,23.8,9.0,37.63333333333333,1963091653.1333332,30.71666666666667
15.949999999999998,8.133333333333333,2.15,2140.8333333333335,858290009.6666666,23.46666666666667,6.333333333333333,34.93333333333333,7288451857.966667,29.2
19.0,13.299999999999999,2.266666666666667,1784.0,1161504021.6666667,35.233333333333334,7.666666666666667,39.0,15988677022.166666,37.11666666666667
27.1,12.0,2.5,622.0,1152039496.0,17.9,13.0,17.7,13824473952.0,17.799999999999997
24.54,13.4,2.7,2067.6,814080298.0,30.68,9.4,54.17999999999999,12267344497.2,42.42999999999999
20.166666666666668,8.666666666666666,3.766666666666667,1760.6666666666667,483789758.6666667,13.366666666666665,7.666666666666667,24.400000000000002,5724910726.766666,18.883333333333333
19.5,17.7,2.5,1419.0,1140062010.0,20.1,0.0,35.9,20179097577.0,28.0
10.625,10.5,3.4,1617.0,778748288.25,23.125,2.5,30.025,8495177645.700001,26.574999999999996
30.8,12.8,2.45,922.0,562758301.5,36.650000000000006,7.5,27.450000000000003,7178128050.049999,32.05
19.099999999999998,13.033333333333333,2.033333333333333,1478.0,610799441.0,26.866666666666664,8.0,41.56666666666666,7355019419.7,34.21666666666667
20.3,14.8,3.2,886.0,202353097.0,17.6,12.0,29.0,2994825835.6000004,23.3
5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4,5993045732.4,46.3
19.942857142857143,8.785714285714286,2.685714285714286,1484.142857142857,512316859.71428573,23.942857142857143,6.857142857142857,41.357142857142854,3532831051.157143,32.65
26.133333333333336,9.200000000000001,3.9666666666666663,1878.6666666666667,860716648.6666666,25.76666666666667,9.666666666666666,37.13333333333333,7777431652.333333,31.45
18.9,14.1,2.7,1472.0,922097331.0,9.0,6.0,41.0,13001572367.1,25.0
30.8,10.533333333333333,4.066666666666667,1891.0,899298977.8333334,26.333333333333332,7.333333333333333,28.066666666666666,8341946614.066666,27.2
14.25,10.6,3.325,2349.5,777056032.0,21.425,7.0,53.5,6702772071.5,37.4625
26.45,16.05,2.6,1387.0,1094679998.0,23.7,6.5,13.55,17776425124.65,18.625
17.285714285714285,11.242857142857144,3.3285714285714287,1912.5714285714287,727402663.2857143,23.2,7.714285714285714,39.74285714285714,7782625458.442857,31.47142857142857
16.185714285714287,11.242857142857144,2.6714285714285713,1421.7142857142858,762887666.8571428,29.571428571428573,4.285714285714286,38.41428571428571,9529642090.22857,33.99285714285714
