Year,Country,Avg Temperature (°C),CO2 Emissions (Tons/Capita),Sea Level Rise (mm),Rainfall (mm),Population,Renewable Energy (%),Extreme Weather Events,Forest Area (%)
2006,Brazil,32.2,19.4,3.8,2626,1155260147,25.5,1,58.8
2011,Brazil,26.7,5.6,4.0,1121,267058271,28.3,2,17.7
2007,USA,27.5,5.8,2.9,2539,330887513,5.3,14,11.1
2007,Japan,15.4,1.3,4.3,921,194923647,,3,45.1
2003,China,28.3,12.3,2.6,2764,205087750,14.5,4,40.8
2009,Brazil,31.5,9.3,3.6,1149,172465953,23.7,9,15.4
2003,China,7.5,9.7,,1964,502277267,16.6,1,36.0
2021,China,29.7,,2.1,890,334345649,44.0,9,31.3
2017,China,15.7,9.7,1.8,2019,305543477,35.1,13,41.0
2011,Brazil,14.7,9.2,1.2,880,661509073,25.2,8,28.3
2003,France,25.8,11.0,4.0,1319,,33.2,14,27.9
2014,Japan,25.1,16.7,4.9,1711,1146020851,26.6,3,47.0
2013,France,8.7,6.1,3.1,2039,72414944,30.5,12,21.3
2022,Japan,31.9,9.5,5.0,1412,433898990,46.3,5,49.2
2007,India,22.8,9.1,1.9,1143,1223349324,41.0,13,18.9
2012,Canada,14.0,1.4,2.8,1229,1225949571,31.4,14,54.1
2020,Brazil,,6.0,3.4,956,1246729629,25.9,2,52.2
2008,USA,19.5,17.7,2.5,1419,1140062010,20.1,0,35.9
2014,Canada,24.8,11.7,1.2,2839,1211830133,47.9,5,59.1
2012,UK,21.6,1.1,,2469,730110223,29.0,14,60.6
2000,UK,22.9,13.7,4.7,1255,1366969728,33.4,12,41.2
2006,USA,28.5,1.4,2.5,2158,411773643,29.4,10,
2008,Japan,19.4,9.3,4.3,2334,242481524,10.8,13,10.3
2023,USA,6.2,18.6,4.4,,487618104,21.9,8,12.1
2000,USA,9.9,3.7,2.5,2067,739358801,9.5,7,64.7
2011,UK,18.2,8.1,3.5,2369,204257967,33.0,10,56.5
2007,Canada,26.7,14.7,1.4,876,475005508,25.1,6,37.0
2023,India,22.8,17.7,1.4,1679,707948505,40.0,9,55.2
2018,China,19.4,5.5,3.3,1936,275361525,12.4,5,56.3
2002,Brazil,19.1,14.5,3.1,920,947263298,37.0,14,20.1
2002,Canada,27.3,,2.4,2052,66735271,23.9,9,60.0
2000,Brazil,31.2,14.6,3.7,803,255339962,,9,21.7
2006,Brazil,9.9,14.5,1.8,1589,1082347326,,6,50.6
2008,Canada,,16.7,3.9,2655,428691595,17.8,14,39.8
2006,Brazil,24.6,1.3,2.5,2815,69840394,31.4,,15.6
2007,France,21.3,5.5,2.4,2327,141991057,48.5,1,69.0
2001,UK,,16.1,1.6,1192,838168075,34.2,8,29.2
2000,UK,17.1,13.4,2.0,754,343373633,16.0,11,
2022,USA,17.6,12.1,2.7,2800,787469860,40.0,2,46.7
2004,Canada,10.2,8.4,3.2,941,152248022,45.2,14,43.4
2002,Japan,27.1,13.1,2.5,2235,690744654,22.5,10,27.5
2000,USA,28.0,17.8,3.4,518,161376204,38.0,8,30.2
2004,China,21.3,10.3,3.4,1880,825442314,14.5,5,11.2
2013,Canada,22.6,2.8,4.5,2580,531451276,,7,51.9
2002,USA,5.9,3.5,3.9,2493,1167300328,23.5,,61.2
2013,India,28.8,10.8,1.5,1404,867702697,48.5,0,15.7
2006,France,24.7,16.7,2.8,1769,730089798,20.4,8,13.3
2008,China,34.8,19.8,2.8,904,1119409767,20.2,9,53.5
2014,France,15.8,14.1,2.7,2282,1280929698,35.6,3,53.0
2009,USA,16.5,10.9,3.2,2064,1293640510,,2,25.0
2016,UK,28.3,18.2,1.9,770,1102449044,32.7,10,63.0
2019,UK,17.2,16.3,3.1,1269,898807235,7.0,13,66.0
2014,UK,7.1,17.1,1.3,1658,636476204,23.0,1,46.2
2012,China,17.2,11.1,2.8,921,560862422,39.7,8,67.2
2018,UK,22.4,12.0,4.1,1709,1156608764,45.4,12,40.4
2012,India,14.4,11.8,1.9,1390,,42.1,13,23.5
2005,UK,30.7,2.4,2.1,1380,38697835,14.0,0,25.2
2011,Brazil,5.3,17.8,2.7,1621,1361023908,41.2,5,63.0
2011,Brazil,22.7,0.7,4.6,2507,1297261375,43.3,14,43.7
2022,France,12.1,8.2,4.4,882,24043592,7.2,9,39.6
2000,China,18.3,3.7,1.8,2090,521491291,30.9,13,39.3
2002,France,9.4,19.0,3.7,2202,1080854924,7.0,2,57.0
2004,Canada,15.8,8.0,4.9,2154,552912628,35.0,2,65.9
2000,UK,16.4,15.9,4.3,932,925086342,42.0,2,57.4
,France,23.2,12.1,4.6,764,863465591,5.6,11,53.4
2014,France,26.2,16.9,1.0,2744,140376298,8.2,3,26.3
2019,India,21.2,3.8,2.3,1389,1333758926,26.8,8,37.4
2016,Japan,6.0,19.5,4.8,1424,274995524,11.7,13,39.5
2016,USA,34.6,5.0,4.6,2670,1041486581,34.2,13,12.2
2019,UK,8.7,19.6,4.4,2402,1215468402,12.8,4,21.7
2023,China,22.5,6.6,3.8,1088,554504868,16.4,13,67.7
2016,China,16.9,10.0,1.5,2669,776918225,41.8,3,24.3
2001,UK,25.6,16.8,1.0,674,183851069,27.6,3,46.2
2021,France,5.5,7.7,4.8,2423,940617342,25.5,10,16.3
2022,USA,14.7,7.8,2.7,2214,660650168,38.9,11,44.4
2000,UK,22.4,9.2,2.6,950,1101337256,29.6,5,61.3
2000,France,12.6,19.9,1.3,1056,400673293,29.6,14,41.8
2018,Japan,20.7,11.1,3.6,1659,465764328,9.0,13,25.3
2020,Brazil,21.0,12.3,3.7,2556,1042719729,43.4,10,42.6
2003,Japan,33.2,15.6,4.5,2562,252075147,16.8,11,11.7
2023,Canada,10.7,10.9,,725,1243293089,37.4,12,27.6
2016,USA,26.9,3.8,3.5,2313,722640614,9.6,12,33.6
2023,China,12.0,16.9,2.8,2520,508830032,21.0,3,59.9
2004,China,33.9,7.4,3.0,1951,247496090,40.5,11,26.5
2019,France,12.7,16.6,4.4,2548,358801890,15.5,8,54.0
2010,Canada,5.5,13.7,4.8,2145,72556185,44.3,9,52.4
2015,Japan,12.3,5.1,4.3,2235,421082224,10.7,12,27.9
2015,USA,29.9,16.7,2.4,805,708549477,44.0,6,34.7
2000,UK,30.9,11.1,4.5,2559,1270851030,31.7,11,23.4
2005,Canada,8.4,11.9,4.7,2189,,24.2,2,39.3
2015,Brazil,28.9,20.0,3.5,2017,1213528698,12.2,7,47.8
2019,UK,23.0,16.4,3.6,919,20916998,39.1,0,32.3
2003,China,33.2,4.5,4.9,2718,1102285590,9.8,12,53.2
2018,UK,29.8,15.8,1.3,633,32581057,27.8,12,50.6
2002,Japan,25.0,14.8,3.2,2530,824431639,41.7,9,52.3
2018,China,22.3,6.4,4.0,1950,563892519,47.1,11,39.4
2019,Japan,15.5,6.9,4.2,2053,693961526,,4,33.0
2006,France,9.8,16.0,2.7,1664,1278299069,47.8,1,23.3
2008,Japan,14.5,14.8,,2319,35139374,22.7,13,46.5
2000,China,31.0,,,1842,1076162478,43.2,5,36.7
2007,France,34.8,17.1,2.8,1964,1335512175,27.2,12,66.6
2006,Japan,27.6,14.4,4.8,2726,63232362,26.2,9,12.9
2017,Brazil,7.7,18.2,1.2,1579,9355425,27.1,8,61.0
2007,UK,13.7,3.1,3.7,1678,934132667,43.1,0,69.9
2010,Japan,24.5,12.2,1.7,610,156286200,23.2,12,58.6
2017,France,28.0,7.4,2.8,2684,1280061358,20.0,3,32.5
2002,India,32.0,15.0,4.6,1313,1104495874,15.7,0,28.3
2006,Canada,31.3,11.2,3.6,1772,847822613,40.7,7,20.6
2015,India,14.5,1.6,4.8,1493,813268912,26.9,13,57.2
2019,India,16.3,9.6,3.3,822,296295792,9.8,12,64.9
2001,USA,24.5,19.4,3.6,2041,214534006,,10,60.9
2004,Brazil,16.4,10.1,3.8,1641,681529141,,7,27.7
2008,Japan,21.4,10.7,4.7,1589,235549454,29.8,12,38.4
2002,Canada,18.3,11.5,3.5,2538,1386998486,21.0,11,12.3
2015,China,10.1,18.4,3.4,1087,1250306574,22.0,10,65.6
2019,USA,27.8,14.7,4.9,1637,648823762,16.0,0,21.4
2023,USA,,17.9,3.7,2284,1310548957,25.6,,50.6
2023,UK,33.5,9.1,4.2,534,828538833,14.3,10,53.8
2019,France,29.4,,1.8,1537,57650147,23.9,5,32.4
2016,India,9.5,,3.8,1951,926054419,20.2,13,34.4
2007,China,20.8,1.7,3.4,2251,1203797363,30.4,10,16.8
2003,USA,12.4,0.6,3.5,2780,866033515,14.2,11,44.6
2005,Canada,19.3,13.0,4.8,1204,978026054,38.4,14,12.5
2007,USA,16.8,6.3,4.1,1062,41988408,7.4,1,41.6
2002,Japan,27.4,6.6,2.4,2623,324417204,13.9,11,60.3
2015,USA,26.5,5.5,2.7,938,1377728769,44.3,13,63.0
2001,UK,7.1,15.4,3.2,2063,901531557,10.7,12,63.6
2015,USA,16.4,17.5,1.7,1700,93560788,8.7,6,31.3
2008,Canada,10.9,10.8,2.9,2957,416299975,13.8,14,22.8
2003,USA,19.4,12.8,1.2,2134,536356608,47.5,3,55.4
2000,Canada,23.5,7.0,2.8,2006,584732301,46.5,5,39.0
2013,Brazil,20.7,14.8,3.1,1691,792568468,29.5,13,51.1
2019,Brazil,21.0,19.8,1.5,1519,341217904,34.7,5,63.4
2002,USA,17.0,0.5,3.5,1184,84528761,7.3,14,21.4
2018,Brazil,30.8,0.6,2.4,2267,1247636178,40.4,7,53.6
2021,India,29.0,18.8,2.2,584,1218629667,27.9,8,60.5
2022,USA,10.5,16.5,4.9,2444,267009905,18.5,2,27.9
2013,Brazil,28.8,17.7,4.6,2169,481755340,17.8,5,50.3
2005,UK,10.6,14.2,4.1,1162,1125808525,21.9,3,11.9
2005,India,32.5,2.5,1.3,1126,471324215,39.0,0,53.6
2012,India,17.7,8.3,4.9,563,294913021,29.3,7,60.1
2007,USA,16.2,13.9,4.3,1681,1078493355,,8,20.5
2001,India,20.8,1.0,3.8,2112,42474142,23.5,1,29.3
2014,Brazil,24.1,12.8,2.9,2440,246829711,41.1,4,
2000,UK,20.5,11.8,4.1,812,39478806,26.0,6,66.1
2015,USA,28.8,0.6,2.2,2382,204172325,9.9,8,27.5
2002,Canada,,13.8,4.5,1826,614382775,12.6,12,20.3
2016,Canada,32.2,2.7,2.8,1179,343865425,28.1,3,44.8
2016,Brazil,28.1,16.9,4.9,934,1393981934,,12,43.3
2011,France,21.7,5.2,2.6,1181,1214544133,33.1,14,54.4
2013,France,12.7,9.8,3.9,1658,1199331484,47.6,0,40.0
2020,Brazil,14.1,3.3,2.1,1573,1391047250,31.1,5,26.3
2002,India,30.5,13.5,1.8,2887,377355052,7.3,5,47.2
2004,USA,29.3,17.3,3.2,1870,1377931241,13.4,13,44.2
2023,Canada,28.0,8.3,5.0,1148,338334548,6.5,3,54.3
2016,Canada,9.5,6.2,3.7,744,355644712,38.5,1,18.5
2020,India,9.6,5.7,1.2,795,988849880,11.1,8,44.9
2002,Canada,12.1,0.9,1.5,2659,45925925,42.6,1,17.6
2020,USA,21.1,,4.8,2648,320264723,16.2,0,63.9
2022,Japan,10.4,4.8,1.1,2127,1360173043,21.8,6,25.9
2000,Canada,14.4,1.2,3.1,527,496479467,16.5,14,52.7
2002,Brazil,11.9,4.7,2.9,2485,374520492,27.0,0,16.0
2009,Canada,24.1,15.3,3.2,557,915322799,49.4,8,43.6
2002,UK,24.0,14.5,3.6,796,305315340,11.4,10,57.7
2017,Japan,22.9,11.3,3.8,2464,,42.6,2,11.0
2014,UK,25.3,12.9,2.7,1598,772826167,28.0,8,15.5
2021,China,18.3,10.8,3.1,2177,393241030,28.7,7,29.6
2022,Brazil,18.4,9.5,4.6,1691,302427829,30.3,12,36.2
2001,Brazil,26.7,5.1,4.6,1270,694412542,12.7,14,26.8
2009,USA,5.5,6.4,4.3,2026,474288233,13.9,2,44.9
2016,UK,29.6,11.5,3.9,1748,1238813576,31.7,4,18.7
2000,India,,18.4,4.5,645,104256346,10.2,11,18.5
2008,Brazil,32.2,14.6,2.6,2483,1107521006,48.7,13,48.4
2017,China,23.5,2.5,4.4,652,165154106,33.9,9,35.3
2012,China,30.0,15.8,2.6,1007,144123536,47.2,6,37.8
2003,UK,7.1,12.1,3.4,844,727544812,12.0,10,20.8
2012,Canada,24.2,18.0,3.3,2435,240259011,16.0,4,67.6
2019,India,13.1,,3.2,2261,556011992,42.9,8,33.1
2000,Canada,22.8,9.6,2.5,720,248996061,14.4,12,30.5
2007,France,25.4,7.1,4.1,2438,444435735,8.3,11,62.5
2013,Canada,11.9,18.8,2.0,2442,254618460,36.6,10,43.8
2015,USA,18.7,2.1,4.8,1222,977078792,23.1,2,41.0
2013,Canada,10.7,18.7,4.6,1027,1167788803,46.4,3,53.6
2011,China,6.6,16.6,2.3,2022,189064050,34.3,0,44.8
2018,Brazil,16.4,3.0,3.9,2164,446630103,9.1,5,19.8
2014,Brazil,34.9,,2.4,2371,1269827972,16.6,0,18.0
2021,India,7.7,8.7,3.1,544,479208779,27.3,8,36.7
2018,India,33.8,7.9,,2568,573634321,10.5,12,12.8
2021,USA,24.0,18.8,3.4,2157,1169884055,23.0,7,10.8
2021,UK,27.6,13.7,4.0,2387,1363325194,20.8,6,65.3
2016,China,10.1,2.8,3.5,2595,733130914,39.8,12,17.7
2005,France,29.7,18.6,2.5,1501,1030270792,21.5,11,63.4
2014,UK,5.0,17.0,1.9,1533,1211235150,21.8,13,41.2
2021,India,14.0,13.7,2.1,2540,140110299,11.8,3,43.9
2010,Brazil,34.4,3.2,3.2,773,1263782460,40.9,0,50.2
2004,Canada,19.2,5.5,1.8,1455,60556258,36.8,7,
2000,Canada,16.5,17.6,2.2,2279,329517333,13.6,3,46.2
2011,China,5.6,3.0,4.8,978,883572947,33.3,9,14.9
2011,China,27.1,13.7,3.4,2562,1024446336,10.5,3,44.6
2003,Japan,25.1,9.8,3.4,1691,,22.6,8,69.0
2005,India,7.8,12.9,1.0,1660,20339904,31.0,12,41.7
2012,China,12.7,20.0,4.1,2701,1014597705,46.0,11,57.3
2014,,30.9,10.2,3.5,771,617520058,12.9,11,48.9
2022,France,20.2,17.4,3.1,2412,797324959,42.9,1,38.2
2012,USA,11.8,15.5,,2626,56245653,45.2,14,23.8
2017,France,15.3,0.6,2.9,2181,342901215,46.4,3,55.0
2018,Canada,29.8,14.5,1.9,1531,298239516,32.3,10,47.9
2022,USA,13.4,7.7,3.7,566,1049605777,12.5,8,27.3
2004,India,33.3,17.5,2.9,690,357936501,40.9,13,48.3
2020,Brazil,31.2,14.7,4.1,1020,937363773,37.4,1,27.2
2022,USA,9.9,13.1,1.5,1489,688166625,8.9,13,27.6
2011,Japan,22.2,15.2,2.1,2814,565411899,12.8,8,61.1
2000,India,16.7,8.2,4.7,1687,349817800,5.8,3,50.7
2014,Japan,16.9,3.0,4.2,1152,1048951853,29.7,13,25.8
2001,Canada,21.2,14.9,4.0,1048,535387911,32.9,0,67.3
2021,Japan,23.8,,,1597,428766962,34.9,0,46.2
2015,France,29.6,1.3,4.7,1290,1379671819,48.9,8,21.2
2006,France,14.7,13.5,,2138,690916097,,2,26.2
2022,India,11.7,11.1,1.2,2010,807462613,9.4,8,50.2
2002,Canada,33.7,2.4,3.3,1674,1146777310,18.6,5,29.1
2011,China,22.2,13.9,3.6,678,1175564118,33.7,13,32.9
2004,India,19.4,16.8,4.4,2636,990213564,8.0,1,40.4
2021,China,14.4,14.3,4.3,1298,222866661,29.7,13,60.7
2013,France,23.2,19.0,4.7,1287,458035062,31.6,13,24.4
2014,Japan,31.9,14.9,2.3,992,1382916110,16.5,9,46.9
2013,India,14.5,18.2,2.7,1231,1063134918,43.0,8,37.6
2019,USA,33.6,5.7,,1629,1356634360,13.8,14,31.8
2004,China,29.8,14.6,2.1,2105,206788510,42.2,9,45.2
2011,Japan,25.0,17.6,2.7,1093,1378540228,30.3,14,47.5
2015,France,19.3,8.3,2.3,824,826741489,37.1,13,14.2
2006,Canada,12.0,9.4,1.2,2249,1330161573,30.6,7,67.2
2003,China,7.4,5.7,3.5,2350,1134255035,44.0,14,42.5
2000,France,28.3,4.8,3.4,1990,61481382,24.4,6,52.9
2022,China,22.8,17.2,1.8,1890,97623054,25.3,2,61.3
2021,Japan,,2.0,3.5,883,606697131,22.5,1,21.1
2004,UK,,8.0,,2763,1230785104,47.8,,36.2
2009,India,23.1,7.0,2.4,2730,928647198,20.8,6,58.8
2023,Japan,21.9,4.9,3.2,2135,760660662,19.0,11,49.7
2004,China,10.8,13.0,2.4,2852,34357473,40.2,6,22.4
2012,Canada,11.4,,2.7,1667,276284677,24.9,3,64.4
2003,France,19.5,11.6,4.2,610,413929509,26.8,13,60.3
2023,USA,23.6,11.2,1.6,731,1196150514,22.2,4,34.7
2015,France,13.9,17.6,2.3,2214,907108797,24.9,9,24.2
2022,China,17.9,13.7,4.4,2255,804974926,21.9,12,53.8
2019,France,28.5,12.3,3.2,2720,1331017695,41.4,14,60.5
2011,India,10.3,,4.8,1530,575572757,28.6,0,62.0
2000,USA,11.9,18.8,2.0,2681,297043004,47.0,6,48.7
2018,Brazil,12.0,12.3,3.8,2832,856099723,,3,25.0
2010,China,11.6,9.7,2.1,2444,946279632,31.0,14,60.2
2011,Brazil,24.7,13.6,2.8,2372,1091856204,6.3,11,18.1
2002,France,30.4,11.9,4.7,2878,193419191,32.8,1,44.3
2000,China,28.8,5.2,1.0,1398,385683145,29.6,2,49.7
2012,USA,19.4,15.7,1.7,1187,918159557,23.4,10,44.5
2013,Canada,16.6,14.6,1.5,1065,956249631,7.4,14,32.5
2018,Brazil,12.5,18.0,4.1,2394,32747976,37.3,8,35.8
2002,India,17.6,6.6,4.5,1851,40236300,27.9,11,27.9
2022,Canada,28.7,5.9,2.0,2726,599372628,15.9,8,46.0
2016,UK,22.5,19.6,3.9,2311,1290081090,38.5,3,56.6
2018,China,14.7,13.0,2.2,690,931316975,17.9,14,62.3
2006,USA,23.9,19.0,1.4,1835,1146873886,34.0,9,36.1
2003,France,11.0,7.1,2.8,1207,1151159927,34.3,14,23.5
2017,UK,6.3,11.0,,886,1193832295,23.8,13,35.0
2010,Brazil,13.0,14.0,4.5,1115,1060152685,17.3,1,15.6
2023,Brazil,24.4,14.0,4.3,2042,55101132,49.1,14,40.8
2003,USA,9.5,5.0,1.5,2254,786397155,5.3,0,53.9
2002,India,29.3,7.4,3.5,1342,866716200,48.6,13,59.5
2016,Japan,23.4,19.0,3.3,1821,43209016,29.3,11,
2002,France,30.8,19.3,2.6,2408,1193787532,25.6,6,14.5
2015,India,16.8,12.6,2.4,1189,970973825,47.5,9,52.5
2003,China,33.7,18.6,1.2,2007,757020571,35.3,5,39.0
2017,Japan,9.0,15.3,1.9,2712,831550186,7.9,3,63.8
2016,Japan,8.1,11.2,1.1,2524,1144515609,26.0,14,69.0
2023,USA,33.3,9.4,1.4,882,589637290,26.1,6,34.9
2022,USA,29.3,11.4,,2756,1339427830,25.5,9,34.5
2004,Japan,7.3,17.3,3.1,1912,1263362850,,8,29.5
2012,France,28.4,3.2,4.8,871,226805324,42.4,6,12.7
2022,Japan,29.8,19.9,1.3,2210,968059240,34.9,11,28.6
2002,Canada,19.9,10.8,2.0,1969,449460600,20.2,13,27.5
2008,Brazil,16.6,8.1,4.1,1110,698150132,47.1,4,58.7
2016,Brazil,18.5,13.4,1.4,615,297280556,46.0,6,15.3
2016,India,11.8,2.6,1.3,946,472080203,14.4,2,58.3
2019,China,31.7,12.9,2.4,1891,136202316,6.8,1,50.2
2012,Brazil,8.2,19.1,1.9,2308,294211471,48.6,4,50.8
2003,India,6.4,9.4,3.8,1573,9918562,28.9,7,36.8
2008,Brazil,27.4,3.9,4.5,1858,,16.1,3,48.6
2018,China,24.8,4.7,1.9,2105,341648458,25.7,14,16.5
2013,USA,20.3,14.8,3.2,886,202353097,17.6,12,29.0
2018,USA,18.9,14.1,2.7,1472,922097331,9.0,6,
2014,France,34.7,8.2,4.2,1884,81521377,23.6,14,16.3
2015,Japan,34.1,19.1,1.1,1483,220754183,38.8,12,47.7
2020,Canada,33.3,19.4,4.1,,117312606,36.2,12,15.7
2004,USA,,8.2,2.0,851,1001119882,49.6,7,15.7
2002,UK,15.6,17.2,1.6,2224,1274221100,17.5,11,53.7
2003,Brazil,7.1,9.4,1.9,,18750431,43.6,9,36.7
2022,UK,7.5,19.2,3.3,1045,1387457528,44.7,13,31.1
2015,China,20.4,15.4,1.6,1969,227429665,14.2,0,69.9
2006,USA,32.0,17.2,3.8,578,1109563889,44.3,5,63.3
2012,Canada,28.5,12.3,4.6,1759,232840139,7.7,0,12.9
2020,China,11.8,16.8,4.0,2881,573451526,45.0,8,43.8
2004,Japan,12.7,16.2,1.6,2000,1307202006,,1,64.3
2002,India,12.8,1.4,1.2,1420,457184922,7.2,6,68.1
2022,Japan,7.1,16.3,3.2,1049,521147693,20.9,1,69.5
2010,UK,19.3,10.5,4.3,891,1297221349,22.8,7,49.8
2014,France,14.7,5.4,4.7,2933,1151040277,24.1,13,20.3
2011,Japan,8.8,5.3,3.3,1880,552503699,22.3,6,14.7
2009,France,8.4,17.9,1.6,839,619079995,39.3,5,
2011,UK,19.6,0.5,3.3,1256,167459760,27.7,9,59.6
2016,France,32.6,18.1,4.0,1545,333230308,49.5,10,64.8
2005,Canada,20.6,3.5,4.1,2838,1138205296,25.9,8,62.8
2006,USA,23.5,19.8,2.1,2853,629814899,7.6,12,70.0
2013,Canada,9.7,19.1,1.8,1438,1141561184,16.8,8,24.6
2012,France,6.3,10.1,1.1,1347,1318582449,24.6,14,
2007,China,8.3,10.5,3.7,941,124297006,12.1,6,45.2
2008,France,7.9,12.9,2.7,1096,,39.5,12,68.9
2017,Canada,16.3,2.3,3.4,,1391480145,17.1,9,63.9
2004,UK,16.7,1.6,2.2,1361,367224757,37.5,2,11.6
2004,China,9.9,9.2,2.0,1498,350813108,47.4,0,51.3
2005,Canada,13.2,5.9,3.6,2872,1257944094,44.7,4,46.2
2018,Japan,32.8,12.6,3.5,2995,1274619263,28.2,14,66.1
2007,Brazil,25.3,19.9,2.3,2051,196111561,39.9,3,24.0
2012,India,5.4,11.7,4.4,2011,574018793,29.9,8,25.6
2021,Canada,25.1,17.0,2.0,1949,1268064913,10.7,14,12.2
2016,India,31.4,,4.1,764,702602016,17.1,5,31.1
2006,UK,12.8,,1.2,1962,444312143,5.9,13,34.6
2003,Canada,11.6,15.2,1.9,2798,,31.8,0,58.3
2005,Brazil,34.4,5.0,3.7,2132,104922177,29.3,3,46.9
2018,India,27.4,19.1,,2874,122071965,48.6,2,55.2
2021,France,10.4,,2.3,2644,1148375055,7.9,11,28.6
2006,Canada,6.6,4.9,2.8,1012,459323770,29.8,14,39.0
2009,USA,14.6,8.9,4.6,715,643338166,42.8,4,29.4
2006,UK,13.1,11.5,2.8,2206,1041665235,24.4,1,27.9
2012,Brazil,26.8,6.9,3.1,2067,615628540,45.8,13,18.2
2007,India,34.0,18.1,2.2,1628,522918956,6.8,14,43.6
2008,Brazil,19.7,17.0,3.2,727,212780506,,5,67.7
2006,China,9.5,8.3,1.1,2865,945299929,16.9,3,47.6
2012,France,27.7,17.8,1.9,2122,,17.1,3,52.3
2016,Canada,27.3,11.1,3.1,2405,,41.5,1,54.1
2023,Canada,23.4,4.5,3.8,971,1380296219,7.5,5,28.2
2005,Canada,9.5,6.3,2.3,2560,904452825,8.2,1,69.5
2020,UK,7.8,12.1,4.9,1541,31063151,47.0,11,16.1
2011,USA,31.3,12.9,2.3,728,310976210,34.6,6,13.7
2020,Japan,29.4,9.5,2.5,925,733726265,37.1,4,13.4
2021,India,31.4,16.6,2.1,1602,1242658359,28.3,10,60.6
2020,USA,13.3,1.4,1.4,1418,1199856255,10.3,,33.9
2004,France,31.4,15.6,1.2,2321,663371850,10.7,11,34.1
2018,India,27.3,10.6,2.8,2358,322950922,33.0,12,26.3
2019,Canada,29.5,9.5,4.6,2618,968769498,5.5,12,53.4
2017,Brazil,23.4,1.4,3.6,2795,958819872,13.8,10,22.4
2014,France,25.6,6.2,1.0,645,93966977,27.1,11,25.0
2008,India,16.3,18.7,4.8,2141,281361562,47.8,2,30.2
2014,Canada,30.4,10.9,4.1,692,778188462,37.2,10,54.7
2021,India,5.3,7.6,2.0,2910,62104574,23.5,7,56.6
2021,Brazil,27.5,14.6,3.2,2320,552258722,14.8,9,59.3
2015,Canada,25.4,4.5,4.6,2286,646048990,10.9,11,46.7
2015,USA,8.7,4.2,3.9,1339,172575234,14.1,3,56.6
2011,China,28.4,13.0,1.9,1907,276902589,5.4,0,42.0
2020,Japan,9.1,15.3,4.4,1481,399126588,41.3,11,37.4
2007,UK,10.4,16.5,1.5,1073,1221935909,43.5,10,16.1
2017,Japan,5.9,5.4,2.5,2833,606960201,35.7,12,54.6
2004,France,10.0,5.8,3.5,1488,1182846641,7.4,3,58.3
2003,Japan,16.6,7.1,4.1,2673,109741109,43.0,8,38.3
2021,UK,17.1,,5.0,2022,284705392,41.0,14,52.7
2016,Canada,31.2,8.4,1.8,2972,695971780,,2,36.3
2000,China,26.7,15.4,2.7,2066,784881916,43.0,1,52.4
2020,USA,8.1,11.1,2.2,2659,1072790036,37.7,8,64.7
2012,USA,26.1,7.9,1.3,621,857993113,12.0,0,56.4
2015,Brazil,6.6,8.6,,772,925802277,15.2,5,31.5
2017,India,14.7,5.7,1.5,1633,538949949,49.9,8,17.4
2004,India,9.5,9.9,2.8,2410,668910266,42.6,5,33.8
2001,China,27.4,19.0,3.9,2416,171927360,42.9,12,19.2
